"Missingness_Mech","Trt_Assignment","Trt_Effect_Size","Include_Y_in_Imputation","Complete.Data","CCA","W_MI5","A_MI5","W_MI20","A_MI20","W_MI50","A_MI50"
0,0,0,0,5.004395322825,5.60517604341475,5.58549645602886,5.55581995990077,5.58236517204856,5.57711606569362,5.58683679537677,5.53723596693981
0,0,0,1,4.99761949126042,5.61644965251453,4.47561320031062,4.25022870863805,4.47697420019493,4.18977362333366,4.47795156425858,4.1783691370989
0,0,1,0,4.99877383369022,5.40394899702998,5.31076136603081,5.29955972153455,5.31797876423801,5.30790373827758,5.31944995722322,5.28246019790647
0,0,1,1,4.99753377038472,5.33497752958191,4.21704923584306,4.00115765879067,4.21881008876287,3.95314358989515,4.2216112949485,3.94281746937949
0,0,2,0,4.99537698521626,5.48873632265152,5.46425753366893,5.4303640731307,5.46441201691688,5.42893259256985,5.46636601470224,5.4354807130156
0,0,2,1,5.00048565463973,5.48140868891857,4.35695230977492,4.13334002861721,4.35399562980771,4.08855993058661,4.3581886498666,4.08183062451524
0,1,0,0,5.00343664494607,5.3501921080565,6.58396284087632,6.12302622418682,6.5731618601046,5.97164914145661,6.57063937970497,5.95968155969735
0,1,0,1,5.00077413681662,5.39254104883292,4.96341496920886,4.59423815955418,4.96938711156547,4.52199740128163,4.96702386158889,4.5254349002961
0,1,1,0,5.00328791990767,5.61874841737375,6.86455857859135,6.41109959640674,6.87389507076538,6.28978474231872,6.86210462979786,6.244735682318
0,1,1,1,5.00218709422263,5.62494732230462,5.22317530979103,4.8890303211743,5.23305364346468,4.81370568677752,5.23152405988066,4.78382481830084
0,1,2,0,5.00465660212805,5.50126959437816,6.70698536247036,6.25741291280971,6.71890353311263,6.14230442166337,6.71637840338963,6.12740398041708
0,1,2,1,5.00165176346005,5.47967840050199,5.08935633381262,4.74054515545402,5.08522498613831,4.65816540537406,5.09101225785588,4.65468032633484
0,2,0,0,4.99967292742303,5.48090937860055,6.12016879238225,5.9946887199866,6.11198484388326,5.95597878676367,6.11198515706155,5.96683318831041
0,2,0,1,5.00558442817689,5.47770366321253,4.75339330162188,4.4121758270339,4.75993863803633,4.33338845834634,4.75544544518545,4.31818484469758
0,2,1,0,4.99762495315748,5.48917450529056,6.12598031068796,6.01684458378892,6.12884897921579,5.97694641812212,6.12850183916396,5.99060046477779
0,2,1,1,5.00311670468799,5.51063433488266,4.7152245716175,4.37029765856741,4.71080728683222,4.31494103395135,4.71364181281737,4.27486528561909
0,2,2,0,4.99539816087591,5.51492873888323,6.12847223940444,6.00187417923257,6.13309108362628,5.97663858156929,6.12884047199467,5.98202339511207
0,2,2,1,5.00048333314586,5.48915782170023,4.75242166235848,4.39096370846597,4.7498505114866,4.33941164388619,4.75102932724631,4.30953424715113
0,3,0,0,5.0027836870744,5.16065191337544,5.4660342198545,5.33470911295978,5.46877526274206,5.28743079203315,5.4644207746347,5.30108425030423
0,3,0,1,5.00040198158396,5.12950920851827,4.02572135352333,3.64945715796135,4.00682588237122,3.61750901473283,4.01623874059523,3.59582933801709
0,3,1,0,4.99198209098946,5.15573586318346,5.44052488369474,5.31076518082189,5.44433865423983,5.286997683728,5.4452158519159,5.30174540671987
0,3,1,1,5.0025973591124,5.17246861596599,3.99747127049436,3.6803965975458,3.9901734443078,3.61971852888058,3.98821020623699,3.6098648651605
0,3,2,0,4.99928876079659,5.15653997396286,5.46622103569797,5.3162357539066,5.46428045395002,5.29918119785016,5.45893348519933,5.28628426295502
0,3,2,1,5.00518998022919,5.17585595686395,4.00410226098713,3.66215664473183,4.00802044816874,3.62339844959984,4.00677542030703,3.64003743570991
1,0,0,0,5.0052655801184,6.65914476202396,5.58897679121063,5.54675309128601,5.58340373696673,5.5585574290361,5.58451849143122,5.5804742923857
1,0,0,1,5.00539040417619,6.60019867702667,5.10483078161423,5.0575361871268,5.10594799302691,5.04213775169161,5.10555834454106,5.06036084688257
1,0,1,0,4.99754728745341,6.35605530523921,5.3232883489803,5.31131059598814,5.32143128969674,5.30630689089204,5.32602568267211,5.30576220915594
1,0,1,1,4.99997848917373,6.41560233223056,4.85948984125491,4.81315193598623,4.85483049357239,4.80108292822491,4.85647901043209,4.78749947344697
1,0,2,0,4.99806116492382,6.49821845896955,5.46420726565895,5.44300129045496,5.4647084912136,5.45691871012752,5.46730665169604,5.45638336260235
1,0,2,1,5.00390281440231,6.51632127883013,4.97937833412485,4.93365384221426,4.98006562825849,4.91320346144238,4.97950828974746,4.9084435620987
1,1,0,0,5.0016374159724,5.96032128357524,6.15552762841685,5.83371598317926,6.17079719512553,5.76904041030624,6.16559655757904,5.75135686951242
