"Missingness_Mech","Trt_Assignment","Trt_Effect_Size","Include_Y_in_Imputation","Complete.Data","CCA","W_MI5","A_MI5","W_MI20","A_MI20","W_MI50","A_MI50"
0,0,0,0,0.0464914353679024,0.380598337628005,0.257749283348807,0.297466216024832,0.238629654177048,0.30618981366416,0.238108816972689,0.31362780600759
0,0,0,1,0.0486109627093492,0.34326103571998,0.289672091544903,0.316568982597973,0.281563376307067,0.324716821605149,0.281491440106462,0.326902469391998
0,0,1,0,0.0423435277961393,0.311554708008846,0.273695269323219,0.336769892745908,0.265789536694188,0.328294928061006,0.266421057266997,0.315558891469157
0,0,1,1,0.0464080944020388,0.394641141043261,0.315039125590917,0.334102850019262,0.310806756779896,0.343221802397923,0.304684648092432,0.342175196005327
0,0,2,0,0.0434772600324209,0.356834668895053,0.261277674676773,0.314592040658712,0.241432943438162,0.297804739140897,0.235937920002421,0.298780448445373
0,0,2,1,0.0457934643426652,0.355049698405559,0.271379441732009,0.293513139680838,0.260121479013323,0.301941940832411,0.262562149691918,0.298111685802632
0,1,0,0,0.0430487970379956,0.334654222594791,0.235237094993267,0.286514175786876,0.217695772375909,0.283674325823176,0.21059108682465,0.289762801621008
0,1,0,1,0.0528667993994978,0.348279528895729,0.273591505794325,0.345771089523011,0.269186722375738,0.327507709366472,0.26693691663685,0.334579900705589
0,1,1,0,0.0406524024385979,0.333475546506299,0.271043934932976,0.312715318110519,0.237741699217291,0.303732531551566,0.234144719811917,0.29482641151475
0,1,1,1,0.0453433179667278,0.357792032523403,0.317314285007879,0.36117263884468,0.300125546979303,0.355042516314446,0.296952031018186,0.366716208892774
0,1,2,0,0.0453086507915065,0.331798114383647,0.233180113170953,0.295002746769868,0.220680722955459,0.295002253455925,0.210616600890266,0.299397909295678
0,1,2,1,0.0445883393751886,0.353693955654441,0.293078048670299,0.350625851087814,0.279618211654797,0.333301440849564,0.276897445904065,0.34618313510038
0,2,0,0,0.0419182527048865,0.237069080498957,0.240230285956571,0.28065299308135,0.221616505888855,0.273976135165759,0.220166083246168,0.259893770109895
0,2,0,1,0.0415494987583244,0.262741090611822,0.281433752907547,0.330239888023446,0.277104594075192,0.335555205523247,0.275332766554929,0.320331251082387
0,2,1,0,0.0456840645835077,0.241821506403129,0.252258596227555,0.288999925656342,0.240819741430921,0.281078582726952,0.237720693151429,0.26951427479835
0,2,1,1,0.0482335111483346,0.274102711861844,0.310591940363871,0.347884313077916,0.308027882636153,0.342664058008069,0.299963164834581,0.350624659293662
0,2,2,0,0.0447935333476439,0.261066790474068,0.237157746219423,0.281897375086156,0.237081099128807,0.280229911718212,0.234061943740515,0.290326666479935
